epoch,loss_sup,loss_cons,loss_total,val_loss,val_iou,val_precision,val_recall,val_f1
0,"tf.Tensor(0.7682977, shape=(), dtype=float32)","tf.Tensor(0.017637976, shape=(), dtype=float32)","tf.Tensor(0.7684165, shape=(), dtype=float32)",0.5777997970581055,0.2914155423641205,0.3011297583580017,0.9892719984054565,0.42339685559272766
1,"tf.Tensor(0.7546485, shape=(), dtype=float32)","tf.Tensor(0.019062102, shape=(), dtype=float32)","tf.Tensor(0.7548268, shape=(), dtype=float32)",0.4801984131336212,0.3878225088119507,0.43395546078681946,0.9397243857383728,0.5357906818389893
2,"tf.Tensor(0.76244533, shape=(), dtype=float32)","tf.Tensor(0.018614398, shape=(), dtype=float32)","tf.Tensor(0.7626842, shape=(), dtype=float32)",0.39278024435043335,0.47807735204696655,0.5802531242370605,0.8430405259132385,0.6291398406028748
3,"tf.Tensor(0.74388117, shape=(), dtype=float32)","tf.Tensor(0.01940405, shape=(), dtype=float32)","tf.Tensor(0.74421924, shape=(), dtype=float32)",0.37030744552612305,0.4995795786380768,0.6219009160995483,0.819797933101654,0.6502858400344849
4,"tf.Tensor(0.75463724, shape=(), dtype=float32)","tf.Tensor(0.012975585, shape=(), dtype=float32)","tf.Tensor(0.7549407, shape=(), dtype=float32)",0.35260438919067383,0.5205236673355103,0.6477770209312439,0.8321389555931091,0.6684480905532837
5,"tf.Tensor(0.78145754, shape=(), dtype=float32)","tf.Tensor(0.016670635, shape=(), dtype=float32)","tf.Tensor(0.78197515, shape=(), dtype=float32)",0.3516520857810974,0.5186641812324524,0.6517300009727478,0.8053398728370667,0.669044554233551
6,"tf.Tensor(0.75924385, shape=(), dtype=float32)","tf.Tensor(0.012124217, shape=(), dtype=float32)","tf.Tensor(0.759738, shape=(), dtype=float32)",0.33589795231819153,0.528268575668335,0.6842594146728516,0.7844327092170715,0.6776933073997498
7,"tf.Tensor(0.7386678, shape=(), dtype=float32)","tf.Tensor(0.017339684, shape=(), dtype=float32)","tf.Tensor(0.73958546, shape=(), dtype=float32)",0.3322361409664154,0.5323692560195923,0.6925522089004517,0.7688196301460266,0.682043731212616
8,"tf.Tensor(0.7804329, shape=(), dtype=float32)","tf.Tensor(0.016718188, shape=(), dtype=float32)","tf.Tensor(0.781569, shape=(), dtype=float32)",0.3284575641155243,0.538926362991333,0.7343653440475464,0.7330018281936646,0.6869890689849854
9,"tf.Tensor(0.75356615, shape=(), dtype=float32)","tf.Tensor(0.009955944, shape=(), dtype=float32)","tf.Tensor(0.7544253, shape=(), dtype=float32)",0.32197001576423645,0.5457342267036438,0.704368531703949,0.790262758731842,0.6926459670066833
10,"tf.Tensor(0.7543212, shape=(), dtype=float32)","tf.Tensor(0.014749212, shape=(), dtype=float32)","tf.Tensor(0.7559196, shape=(), dtype=float32)",0.3264070153236389,0.5410475730895996,0.6788671612739563,0.8140550851821899,0.6889737248420715
11,"tf.Tensor(0.75443566, shape=(), dtype=float32)","tf.Tensor(0.016633336, shape=(), dtype=float32)","tf.Tensor(0.7566743, shape=(), dtype=float32)",0.31346985697746277,0.5541243553161621,0.6955721378326416,0.8038173913955688,0.7006239891052246
12,"tf.Tensor(0.74632895, shape=(), dtype=float32)","tf.Tensor(0.016968744, shape=(), dtype=float32)","tf.Tensor(0.7491339, shape=(), dtype=float32)",0.31321749091148376,0.5538368225097656,0.694407045841217,0.811501681804657,0.7002636790275574
13,"tf.Tensor(0.72355044, shape=(), dtype=float32)","tf.Tensor(0.0139731895, shape=(), dtype=float32)","tf.Tensor(0.72635597, shape=(), dtype=float32)",0.3138107359409332,0.5552670955657959,0.7259977459907532,0.7772574424743652,0.7002387642860413
14,"tf.Tensor(0.75251, shape=(), dtype=float32)","tf.Tensor(0.015767029, shape=(), dtype=float32)","tf.Tensor(0.75631267, shape=(), dtype=float32)",0.31544873118400574,0.5504732131958008,0.732171893119812,0.7603543400764465,0.6971741318702698
15,"tf.Tensor(0.7634295, shape=(), dtype=float32)","tf.Tensor(0.016032133, shape=(), dtype=float32)","tf.Tensor(0.76802284, shape=(), dtype=float32)",0.3092349171638489,0.5602680444717407,0.729947030544281,0.7706219553947449,0.7067364454269409
16,"tf.Tensor(0.7424714, shape=(), dtype=float32)","tf.Tensor(0.015892884, shape=(), dtype=float32)","tf.Tensor(0.7478208, shape=(), dtype=float32)",0.3030664920806885,0.5662538409233093,0.7327942848205566,0.78351891040802,0.7106109261512756
17,"tf.Tensor(0.75333583, shape=(), dtype=float32)","tf.Tensor(0.011120698, shape=(), dtype=float32)","tf.Tensor(0.7576847, shape=(), dtype=float32)",0.3004445433616638,0.5690073370933533,0.736931562423706,0.7806673645973206,0.7121458649635315
18,"tf.Tensor(0.75059986, shape=(), dtype=float32)","tf.Tensor(0.015071445, shape=(), dtype=float32)","tf.Tensor(0.7573719, shape=(), dtype=float32)",0.3159705102443695,0.5521806478500366,0.7666475176811218,0.7334950566291809,0.6953043937683105
19,"tf.Tensor(0.75053227, shape=(), dtype=float32)","tf.Tensor(0.013723665, shape=(), dtype=float32)","tf.Tensor(0.7575392, shape=(), dtype=float32)",0.3105948865413666,0.5564524531364441,0.7315633296966553,0.7723835706710815,0.701326310634613
20,"tf.Tensor(0.7126927, shape=(), dtype=float32)","tf.Tensor(0.006771324, shape=(), dtype=float32)","tf.Tensor(0.71657777, shape=(), dtype=float32)",0.3029637932777405,0.5665795207023621,0.7562318444252014,0.7505513429641724,0.7099260687828064
21,"tf.Tensor(0.7384393, shape=(), dtype=float32)","tf.Tensor(0.015520245, shape=(), dtype=float32)","tf.Tensor(0.7483355, shape=(), dtype=float32)",0.3195202946662903,0.5484628677368164,0.7668620347976685,0.7059270739555359,0.694556474685669
22,"tf.Tensor(0.70379806, shape=(), dtype=float32)","tf.Tensor(0.014882364, shape=(), dtype=float32)","tf.Tensor(0.7142274, shape=(), dtype=float32)",0.32212451100349426,0.5445318222045898,0.7772145867347717,0.7040553689002991,0.6908225417137146
23,"tf.Tensor(0.7501414, shape=(), dtype=float32)","tf.Tensor(0.013503957, shape=(), dtype=float32)","tf.Tensor(0.7604271, shape=(), dtype=float32)",0.3238782584667206,0.5411173701286316,0.7606927156448364,0.7044020891189575,0.6885753273963928
24,"tf.Tensor(0.74835885, shape=(), dtype=float32)","tf.Tensor(0.0121114515, shape=(), dtype=float32)","tf.Tensor(0.75827485, shape=(), dtype=float32)",0.32487592101097107,0.5408112406730652,0.8044959902763367,0.6733531355857849,0.6859850883483887
25,"tf.Tensor(0.75024426, shape=(), dtype=float32)","tf.Tensor(0.013441277, shape=(), dtype=float32)","tf.Tensor(0.7619425, shape=(), dtype=float32)",0.3315260708332062,0.5362597703933716,0.8007853627204895,0.6726900935173035,0.68073570728302
26,"tf.Tensor(0.75170594, shape=(), dtype=float32)","tf.Tensor(0.016969798, shape=(), dtype=float32)","tf.Tensor(0.7672324, shape=(), dtype=float32)",0.32054582238197327,0.5437501668930054,0.795037567615509,0.6856924891471863,0.6878462433815002
27,"tf.Tensor(0.76212615, shape=(), dtype=float32)","tf.Tensor(0.0130059235, shape=(), dtype=float32)","tf.Tensor(0.77449775, shape=(), dtype=float32)",0.31637006998062134,0.5501322150230408,0.7636297345161438,0.7400383949279785,0.6933953166007996
28,"tf.Tensor(0.7502259, shape=(), dtype=float32)","tf.Tensor(0.013295712, shape=(), dtype=float32)","tf.Tensor(0.7632294, shape=(), dtype=float32)",0.3319436311721802,0.5357388257980347,0.7970466017723083,0.6806769967079163,0.6801270246505737
29,"tf.Tensor(0.7233422, shape=(), dtype=float32)","tf.Tensor(0.011316914, shape=(), dtype=float32)","tf.Tensor(0.7345964, shape=(), dtype=float32)",0.3388381898403168,0.5339009761810303,0.8051936626434326,0.6770781874656677,0.6780248284339905
30,"tf.Tensor(0.7688935, shape=(), dtype=float32)","tf.Tensor(0.007038671, shape=(), dtype=float32)","tf.Tensor(0.77593213, shape=(), dtype=float32)",0.3302421271800995,0.5379341244697571,0.8034442663192749,0.6601563692092896,0.684677004814148
31,"tf.Tensor(0.75049114, shape=(), dtype=float32)","tf.Tensor(0.007903906, shape=(), dtype=float32)","tf.Tensor(0.7583951, shape=(), dtype=float32)",0.3522583544254303,0.5119389295578003,0.8285171985626221,0.6096932888031006,0.6595130562782288
32,"tf.Tensor(0.7512258, shape=(), dtype=float32)","tf.Tensor(0.006136266, shape=(), dtype=float32)","tf.Tensor(0.75736207, shape=(), dtype=float32)",0.33640167117118835,0.5288391709327698,0.8159412145614624,0.6286619305610657,0.6764904856681824
