epoch,loss_sup,loss_cons,loss_total,val_loss,val_iou,val_precision,val_recall,val_f1
0,"tf.Tensor(0.77461886, shape=(), dtype=float32)","tf.Tensor(0.01009019, shape=(), dtype=float32)","tf.Tensor(0.7746869, shape=(), dtype=float32)",0.5707865953445435,0.3092474341392517,0.3306688666343689,0.9607067108154297,0.4479202628135681
1,"tf.Tensor(0.7744487, shape=(), dtype=float32)","tf.Tensor(0.005382732, shape=(), dtype=float32)","tf.Tensor(0.77449906, shape=(), dtype=float32)",0.5371788740158081,0.3366680443286896,0.3651980459690094,0.9687139987945557,0.48041820526123047
2,"tf.Tensor(0.7991408, shape=(), dtype=float32)","tf.Tensor(0.011198055, shape=(), dtype=float32)","tf.Tensor(0.7992845, shape=(), dtype=float32)",0.4938324987888336,0.38934382796287537,0.4390684962272644,0.9247585535049438,0.5402479767799377
3,"tf.Tensor(0.7768881, shape=(), dtype=float32)","tf.Tensor(0.007478022, shape=(), dtype=float32)","tf.Tensor(0.77701837, shape=(), dtype=float32)",0.4504069983959198,0.42906269431114197,0.547649085521698,0.7739309668540955,0.5815238356590271
4,"tf.Tensor(0.7631554, shape=(), dtype=float32)","tf.Tensor(0.013634417, shape=(), dtype=float32)","tf.Tensor(0.7634743, shape=(), dtype=float32)",0.44249436259269714,0.42999428510665894,0.5215545892715454,0.8508668541908264,0.5804329514503479
5,"tf.Tensor(0.7713618, shape=(), dtype=float32)","tf.Tensor(0.013171824, shape=(), dtype=float32)","tf.Tensor(0.7717708, shape=(), dtype=float32)",0.42644327878952026,0.4439067840576172,0.607415497303009,0.7062293291091919,0.5971378684043884
6,"tf.Tensor(0.7665726, shape=(), dtype=float32)","tf.Tensor(0.009479087, shape=(), dtype=float32)","tf.Tensor(0.766959, shape=(), dtype=float32)",0.4159843921661377,0.4575842320919037,0.5664775371551514,0.7938346266746521,0.6125560998916626
7,"tf.Tensor(0.76993275, shape=(), dtype=float32)","tf.Tensor(0.011196591, shape=(), dtype=float32)","tf.Tensor(0.77052534, shape=(), dtype=float32)",0.405609667301178,0.46439629793167114,0.5820291638374329,0.7988484501838684,0.6175360083580017
8,"tf.Tensor(0.7607885, shape=(), dtype=float32)","tf.Tensor(0.009645257, shape=(), dtype=float32)","tf.Tensor(0.761444, shape=(), dtype=float32)",0.40203171968460083,0.46647006273269653,0.5806209444999695,0.8186981081962585,0.6184795498847961
9,"tf.Tensor(0.75824314, shape=(), dtype=float32)","tf.Tensor(0.014107522, shape=(), dtype=float32)","tf.Tensor(0.7594605, shape=(), dtype=float32)",0.40957799553871155,0.45978018641471863,0.6128341555595398,0.72908616065979,0.6136452555656433
10,"tf.Tensor(0.75953996, shape=(), dtype=float32)","tf.Tensor(0.013609536, shape=(), dtype=float32)","tf.Tensor(0.7610148, shape=(), dtype=float32)",0.39223623275756836,0.479911744594574,0.6261255741119385,0.761043131351471,0.631260335445404
11,"tf.Tensor(0.7593155, shape=(), dtype=float32)","tf.Tensor(0.0143143665, shape=(), dtype=float32)","tf.Tensor(0.761242, shape=(), dtype=float32)",0.38896608352661133,0.48828938603401184,0.6316030025482178,0.8048113584518433,0.6359162330627441
12,"tf.Tensor(0.7573955, shape=(), dtype=float32)","tf.Tensor(0.014239144, shape=(), dtype=float32)","tf.Tensor(0.75974923, shape=(), dtype=float32)",0.3857239782810211,0.484762966632843,0.6167269349098206,0.8083101511001587,0.6341568231582642
13,"tf.Tensor(0.74608725, shape=(), dtype=float32)","tf.Tensor(0.008412219, shape=(), dtype=float32)","tf.Tensor(0.74777627, shape=(), dtype=float32)",0.390316903591156,0.4777581989765167,0.594325065612793,0.8251368403434753,0.6286422610282898
14,"tf.Tensor(0.7727423, shape=(), dtype=float32)","tf.Tensor(0.013366187, shape=(), dtype=float32)","tf.Tensor(0.77596587, shape=(), dtype=float32)",0.3719027042388916,0.500414252281189,0.6946998238563538,0.7272440195083618,0.6492604613304138
15,"tf.Tensor(0.75569266, shape=(), dtype=float32)","tf.Tensor(0.0145920515, shape=(), dtype=float32)","tf.Tensor(0.75987333, shape=(), dtype=float32)",0.3837279677391052,0.48504048585891724,0.6361132264137268,0.7806981205940247,0.6344090700149536
16,"tf.Tensor(0.7566739, shape=(), dtype=float32)","tf.Tensor(0.01307307, shape=(), dtype=float32)","tf.Tensor(0.7610741, shape=(), dtype=float32)",0.3758188784122467,0.49789682030677795,0.7122420072555542,0.7050061821937561,0.647770345211029
17,"tf.Tensor(0.7561066, shape=(), dtype=float32)","tf.Tensor(0.013719118, shape=(), dtype=float32)","tf.Tensor(0.7614716, shape=(), dtype=float32)",0.36568960547447205,0.5070140361785889,0.6611782908439636,0.7854200601577759,0.6541402339935303
18,"tf.Tensor(0.7588472, shape=(), dtype=float32)","tf.Tensor(0.01372471, shape=(), dtype=float32)","tf.Tensor(0.7650141, shape=(), dtype=float32)",0.3661459684371948,0.5029001235961914,0.6511764526367188,0.7921024560928345,0.6517113447189331
19,"tf.Tensor(0.7979486, shape=(), dtype=float32)","tf.Tensor(0.014446508, shape=(), dtype=float32)","tf.Tensor(0.8053246, shape=(), dtype=float32)",0.3712672293186188,0.5019756555557251,0.6703090071678162,0.7756673097610474,0.6490169167518616
20,"tf.Tensor(0.75530624, shape=(), dtype=float32)","tf.Tensor(0.010836755, shape=(), dtype=float32)","tf.Tensor(0.76152384, shape=(), dtype=float32)",0.36831098794937134,0.5002042055130005,0.6411436796188354,0.8171071410179138,0.6485571265220642
21,"tf.Tensor(0.74140203, shape=(), dtype=float32)","tf.Tensor(0.01169839, shape=(), dtype=float32)","tf.Tensor(0.74886125, shape=(), dtype=float32)",0.36824771761894226,0.4956216514110565,0.602702260017395,0.8575828671455383,0.6455819010734558
22,"tf.Tensor(0.7599661, shape=(), dtype=float32)","tf.Tensor(0.013209468, shape=(), dtype=float32)","tf.Tensor(0.76922303, shape=(), dtype=float32)",0.3585200309753418,0.5101500749588013,0.656233549118042,0.8064779043197632,0.6579384803771973
23,"tf.Tensor(0.75491834, shape=(), dtype=float32)","tf.Tensor(0.009624459, shape=(), dtype=float32)","tf.Tensor(0.7622492, shape=(), dtype=float32)",0.357310026884079,0.5162937641143799,0.6753995418548584,0.7820175886154175,0.6649904251098633
24,"tf.Tensor(0.74026835, shape=(), dtype=float32)","tf.Tensor(0.013107629, shape=(), dtype=float32)","tf.Tensor(0.751, shape=(), dtype=float32)",0.35699498653411865,0.5170451998710632,0.6934155821800232,0.7510989904403687,0.6666287183761597
25,"tf.Tensor(0.7576964, shape=(), dtype=float32)","tf.Tensor(0.014895703, shape=(), dtype=float32)","tf.Tensor(0.77066046, shape=(), dtype=float32)",0.36209893226623535,0.5096264481544495,0.7136166095733643,0.7231664657592773,0.6588979959487915
26,"tf.Tensor(0.7581631, shape=(), dtype=float32)","tf.Tensor(0.0060712453, shape=(), dtype=float32)","tf.Tensor(0.76371795, shape=(), dtype=float32)",0.35185644030570984,0.5183053612709045,0.6624869704246521,0.8111903071403503,0.6663697361946106
27,"tf.Tensor(0.7541723, shape=(), dtype=float32)","tf.Tensor(0.009137637, shape=(), dtype=float32)","tf.Tensor(0.7628643, shape=(), dtype=float32)",0.3532761335372925,0.5168147683143616,0.6810793876647949,0.7820092439651489,0.6648050546646118
28,"tf.Tensor(0.73694646, shape=(), dtype=float32)","tf.Tensor(0.00841461, shape=(), dtype=float32)","tf.Tensor(0.74517614, shape=(), dtype=float32)",0.36580607295036316,0.506752073764801,0.7069091200828552,0.7439972162246704,0.6537644267082214
29,"tf.Tensor(0.75711644, shape=(), dtype=float32)","tf.Tensor(0.012877299, shape=(), dtype=float32)","tf.Tensor(0.7699224, shape=(), dtype=float32)",0.3677912950515747,0.500769853591919,0.6754576563835144,0.7487291097640991,0.6523412466049194
30,"tf.Tensor(0.7538993, shape=(), dtype=float32)","tf.Tensor(0.007590296, shape=(), dtype=float32)","tf.Tensor(0.76148957, shape=(), dtype=float32)",0.3580935299396515,0.5135439038276672,0.7241362929344177,0.7233416438102722,0.6621580719947815
